"Story","Title","Result","Date","Stability","Duration (s)"
"Criar Categorias Globais","Crio uma nova categoria global","SUCCESS","2020-12-09T17:30:54.244-03:00[America/Sao_Paulo]","0.0","12.38"
"Criar Categorias Globais","Crio e edito uma nova categoria global em um projeto em edição","SUCCESS","2020-12-09T17:31:07.329-03:00[America/Sao_Paulo]","0.0","21.91"
"Criar Categorias Globais","crio categoria global pelo botao adicionar e editar","SUCCESS","2020-12-09T17:31:29.924-03:00[America/Sao_Paulo]","0.0","12.39"
"Criar Categorias Globais","Apagar categoria global","SUCCESS","2020-12-09T17:31:43.005-03:00[America/Sao_Paulo]","0.0","14.13"
"Criar Categorias Globais","Atribuir usuario a categoria global","SUCCESS","2020-12-09T17:31:57.837-03:00[America/Sao_Paulo]","0.0","14.4"
