"Story","Title","Result","Date","Stability","Duration (s)"
"Gerenciar Marcadores","Crio um novo Campo Personalizado","SUCCESS","2020-12-15T21:09:50.984-03:00[America/Sao_Paulo]","0.0","17.97"
"Gerenciar Marcadores","Apago um Campo Personalizado criado","SUCCESS","2020-12-15T21:10:09.643-03:00[America/Sao_Paulo]","0.0","15.06"
"Gerenciar Marcadores","Crio Campo Personalizado Repetido","SUCCESS","2020-12-15T21:10:25.364-03:00[America/Sao_Paulo]","0.0","11.86"
"Gerenciar Marcadores","Crio um novo Marcador","SUCCESS","2020-12-15T21:12:07.245-03:00[America/Sao_Paulo]","0.0","11.77"
"Gerenciar Marcadores","Apago um novo Marcador criado","SUCCESS","2020-12-15T21:12:19.71-03:00[America/Sao_Paulo]","0.0","15.81"
"Gerenciar Marcadores","atualizar um Marcador","SUCCESS","2020-12-15T21:12:36.195-03:00[America/Sao_Paulo]","0.0","15.96"
