"Story","Title","Result","Date","Stability","Duration (s)"
"Adicionar projeto inicial","Efetuar login com sucesso inicial alterando primeira senha","SUCCESS","2020-12-09T17:26:35.702-03:00[America/Sao_Paulo]","0.0","20.77"
"Adicionar projeto inicial","Crio um projeto inicial","SUCCESS","2020-12-09T17:26:57.171-03:00[America/Sao_Paulo]","0.0","25.24"
"Adicionar projeto inicial","Tornar projeto inicial o padrao","SUCCESS","2020-12-09T17:27:23.094-03:00[America/Sao_Paulo]","0.0","20.2"
"Adicionar projeto inicial","Crio um projeto extra","SUCCESS","2020-12-09T17:27:43.968-03:00[America/Sao_Paulo]","0.0","16.45"
