"Story","Title","Result","Date","Stability","Duration (s)"
"Criar novo projeto","crio um  novo subprojeto para um projeto criado","SUCCESS","2020-12-09T17:34:16.223-03:00[America/Sao_Paulo]","0.0","23.52"
"Criar novo projeto","editar um projeto criado","SUCCESS","2020-12-09T17:34:40.42-03:00[America/Sao_Paulo]","0.0","24.7"
"Criar novo projeto","adiciono um novo subprojeto","SUCCESS","2020-12-09T17:35:05.791-03:00[America/Sao_Paulo]","0.0","21.92"
