"Story","Title","Result","Date","Stability","Duration (s)"
"Criar nova tarefa","Crio uma nova tarefa","SUCCESS","2020-12-15T21:07:53.479-03:00[America/Sao_Paulo]","0.0","18.58"
"Criar nova tarefa","Apagar tarefa criada","SUCCESS","2020-12-15T21:08:12.756-03:00[America/Sao_Paulo]","0.0","21.72"
"Criar nova tarefa","adicionar relacionamento entre tarefas","SUCCESS","2020-12-15T21:08:35.165-03:00[America/Sao_Paulo]","0.0","28.71"
"Criar nova tarefa","clonar tarefa","SUCCESS","2020-12-15T21:09:04.585-03:00[America/Sao_Paulo]","0.0","21.53"
"Criar nova tarefa","fechar tarefa","SUCCESS","2020-12-15T21:09:26.817-03:00[America/Sao_Paulo]","0.0","21.79"
