"Story","Title","Result","Date","Stability","Duration (s)"
"Gerenciar Marcadores","Crio um novo Campo Personalizado","SUCCESS","2021-01-23T18:56:30.317-03:00[America/Sao_Paulo]","0.0","20.86"
"Gerenciar Marcadores","Apago um Campo Personalizado criado","SUCCESS","2021-01-23T18:56:51.176-03:00[America/Sao_Paulo]","0.0","17.51"
"Gerenciar Marcadores","Crio Campo Personalizado Repetido","SUCCESS","2021-01-23T18:57:08.691-03:00[America/Sao_Paulo]","0.0","23.28"
"Gerenciar Marcadores","Crio um novo Marcador","SUCCESS","2021-01-23T18:59:13.373-03:00[America/Sao_Paulo]","0.0","14.37"
"Gerenciar Marcadores","Apago um novo Marcador criado","SUCCESS","2021-01-23T18:59:27.747-03:00[America/Sao_Paulo]","0.0","18.43"
"Gerenciar Marcadores","atualizar um Marcador","SUCCESS","2021-01-23T18:59:46.176-03:00[America/Sao_Paulo]","0.0","17.76"
