"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Efetuar login com sucesso utilizando javascript","SUCCESS","2020-12-15T21:18:37.385-03:00[America/Sao_Paulo]","0.0","9.12"
"Login","Efetuar login com sucesso","SUCCESS","2020-12-15T21:18:47.198-03:00[America/Sao_Paulo]","0.0","9.23"
"Login","Efetuar login sem preencher usuario","SUCCESS","2020-12-15T21:18:57.105-03:00[America/Sao_Paulo]","0.0","7.85"
"Login","Efetuar login errado","SUCCESS","2020-12-15T21:19:05.631-03:00[America/Sao_Paulo]","0.0","27.83"
7.105-03:00[America/Sao_Paulo]","0.0","7.85"
"Login","Efetuar login errado","SUCCESS","2020-12-15T21:19:05.631-03:00[America/Sao_Paulo]","0.0","27.83"
"ver tarefas","apagar base","SUCCESS","2020-12-15T21:23:22.789-03:00[America/Sao_Paulo]","0.0","6.36"
