"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Efetuar login com sucesso utilizando javascript","SUCCESS","2021-01-23T19:05:54.303-03:00[America/Sao_Paulo]","0.0","11.26"
"Login","Efetuar login com sucesso","SUCCESS","2021-01-23T19:06:05.565-03:00[America/Sao_Paulo]","0.0","11.41"
"Login","Efetuar login sem preencher usuario","SUCCESS","2021-01-23T19:06:16.978-03:00[America/Sao_Paulo]","0.0","9.98"
"Login","Efetuar login errado","SUCCESS","2021-01-23T19:06:26.958-03:00[America/Sao_Paulo]","0.0","32.51"
