"Story","Title","Result","Date","Stability","Duration (s)"
"Criar novo usuario","Crio um novo usuario pelo gerenciar usuarios","SUCCESS","2020-12-15T21:50:38.97-03:00[America/Sao_Paulo]","0.0","19.43"
"Criar novo usuario","Crio um novo usuario pelo botao convidar usuario","SUCCESS","2020-12-15T21:50:59.096-03:00[America/Sao_Paulo]","0.0","20.18"
