"Story","Title","Result","Date","Stability","Duration (s)"
"Criar novo projeto","adiciono versao ao projeto","SUCCESS","2020-12-15T21:49:32.019-03:00[America/Sao_Paulo]","0.0","19.28"
"Criar novo projeto","adiciono e altero a versao do projeto","SUCCESS","2020-12-15T21:49:51.984-03:00[America/Sao_Paulo]","0.0","21.91"
"Criar novo projeto","apago versao do projeto","SUCCESS","2020-12-15T21:50:14.594-03:00[America/Sao_Paulo]","0.0","22.25"
