"Story","Title","Result","Date","Stability","Duration (s)"
"Criar nova tarefa","Crio uma nova tarefa","SUCCESS","2021-01-23T18:54:17.51-03:00[America/Sao_Paulo]","0.0","23.14"
"Criar nova tarefa","Apagar tarefa criada","SUCCESS","2021-01-23T18:54:40.665-03:00[America/Sao_Paulo]","0.0","25.04"
"Criar nova tarefa","adicionar relacionamento entre tarefas","SUCCESS","2021-01-23T18:55:05.714-03:00[America/Sao_Paulo]","0.0","32.19"
"Criar nova tarefa","clonar tarefa","SUCCESS","2021-01-23T18:55:37.907-03:00[America/Sao_Paulo]","0.0","24.9"
"Criar nova tarefa","fechar tarefa","SUCCESS","2021-01-23T18:56:02.821-03:00[America/Sao_Paulo]","0.0","24.93"
