"Story","Title","Result","Date","Stability","Duration (s)"
"Criar novo projeto","desvincular um subprojeto","SUCCESS","2020-12-09T17:35:28.394-03:00[America/Sao_Paulo]","0.0","24.54"
"Criar novo projeto","apagar projeto que possua um subprojeto","SUCCESS","2020-12-09T17:35:53.608-03:00[America/Sao_Paulo]","0.0","24.51"
