"Story","Title","Result","Date","Stability","Duration (s)"
"Gerenciar Perfis Globais","Crio um novo Perfil Global","SUCCESS","2020-12-09T17:33:01.798-03:00[America/Sao_Paulo]","0.0","13.8"
"Gerenciar Perfis Globais","Apagar Perfil Global","SUCCESS","2020-12-09T17:33:16.275-03:00[America/Sao_Paulo]","0.0","19.57"
